Number of serves,Sex,Period,Per cent,LL 95% CI,UL 95% CI
1 serve,Females,2003,28.7,27.3,30
1 serve,Females,2002,28.8,27.4,30.2
1 serve,Persons,2023,40.9,39.5,42.2
1 serve,Persons,2022,43.2,41.9,44.6
1 serve,Persons,2021,41.5,40.1,42.8
1 serve,Persons,2020,41.9,40.2,43.6
1 serve,Persons,2019,40.2,38.7,41.8
1 serve,Persons,2018,41.7,40.3,43.1
1 serve,Persons,2017,37.5,36.2,38.9
1 serve,Persons,2016,35.5,34.1,36.8
1 serve,Persons,2015,35.6,33.7,37.5
1 serve,Persons,2014,29.6,28.4,30.9
1 serve,Persons,2013,30.6,29.4,31.7
1 serve,Persons,2012,29.1,27.4,30.8
1 serve,Persons,2011,32.3,30.9,33.7
1 serve,Persons,2010,27.7,26.4,28.9
1 serve,Persons,2009,27.1,25.9,28.3
1 serve,Persons,2008,26.5,25.3,27.8
1 serve,Persons,2007,28.9,27.5,30.3
1 serve,Persons,2006,27,25.7,28.2
1 serve,Persons,2005,29.2,28.1,30.3
1 serve,Persons,2004,31,29.7,32.2
1 serve,Persons,2003,30.6,29.5,31.6
1 serve,Persons,2002,30.8,29.7,31.9
2 serves,Males,2023,22.4,20.8,24
2 serves,Males,2022,22.9,21.3,24.5
2 serves,Males,2021,24.7,23.1,26.4
2 serves,Males,2020,24.4,22.3,26.5
2 serves,Males,2019,24.3,22.4,26.2
2 serves,Males,2018,24.4,22.6,26.1
2 serves,Males,2017,26.4,24.6,28.2
2 serves,Males,2016,27.2,25.4,29
2 serves,Males,2015,26.4,24.1,28.7
2 serves,Males,2014,29,27.1,30.9
2 serves,Males,2013,28.7,27,30.4
2 serves,Males,2012,30.9,28.2,33.6
2 serves,Males,2011,28.5,26.4,30.5
2 serves,Males,2010,30.8,28.7,32.9
2 serves,Males,2009,29.9,28,31.8
2 serves,Males,2008,29.2,27.1,31.2
2 serves,Males,2007,26.3,24.2,28.4
2 serves,Males,2006,26.6,24.7,28.5
2 serves,Males,2005,25.5,23.9,27.1
2 serves,Males,2004,21.9,20.2,23.6
2 serves,Males,2003,23.2,21.7,24.6
2 serves,Males,2002,22.1,20.6,23.6
2 serves,Females,2023,27,25.3,28.7
2 serves,Females,2022,27.8,26.1,29.5
2 serves,Females,2021,28.4,26.6,30.2
2 serves,Females,2020,28.7,26.6,30.8
2 serves,Females,2019,29.3,27.4,31.3
2 serves,Females,2018,29,27.3,30.7
2 serves,Females,2017,33.8,32,35.6
2 serves,Females,2016,33.4,31.6,35.2
2 serves,Females,2015,32.5,30.1,34.8
2 serves,Females,2014,34.3,32.6,36
2 serves,Females,2013,35.4,33.8,37
2 serves,Females,2012,35.9,33.5,38.3
2 serves,Females,2011,35.8,34.1,37.5
2 serves,Females,2010,36.4,34.7,38
2 serves,Females,2009,32.6,31.1,34.1
2 serves,Females,2008,35.2,33.5,36.8
2 serves,Females,2007,31.8,30.1,33.4
2 serves,Females,2006,34,32.3,35.7
2 serves,Females,2005,31.6,30.2,33
2 serves,Females,2004,30.3,28.7,31.9
2 serves,Females,2003,30.2,28.9,31.6
2 serves,Females,2002,28.9,27.5,30.3
2 serves,Persons,2023,24.7,23.5,25.9
2 serves,Persons,2022,25.4,24.2,26.6
2 serves,Persons,2021,26.6,25.4,27.8
2 serves,Persons,2020,26.6,25.1,28
2 serves,Persons,2019,26.9,25.5,28.2
2 serves,Persons,2018,26.7,25.5,28
2 serves,Persons,2017,30.2,28.9,31.4
2 serves,Persons,2016,30.4,29.1,31.6
2 serves,Persons,2015,29.5,27.8,31.1
2 serves,Persons,2014,31.7,30.4,33
2 serves,Persons,2013,32.1,31,33.3
2 serves,Persons,2012,33.4,31.6,35.2
2 serves,Persons,2011,32.2,30.9,33.6
2 serves,Persons,2010,33.7,32.3,35
2 serves,Persons,2009,31.3,30.1,32.5
2 serves,Persons,2008,32.2,30.9,33.5
2 serves,Persons,2007,29.1,27.8,30.4
2 serves,Persons,2006,30.4,29.1,31.6
2 serves,Persons,2005,28.6,27.5,29.7
2 serves,Persons,2004,26.2,25,27.4
2 serves,Persons,2003,26.7,25.7,27.8
2 serves,Persons,2002,25.5,24.5,26.6
3 serves,Males,2023,7.6,6.6,8.7
3 serves,Males,2022,7.8,6.8,8.8
3 serves,Males,2021,8.6,7.6,9.7
3 serves,Males,2020,8.9,7.4,10.3
3 serves,Males,2019,8.6,7.4,9.8
3 serves,Males,2018,8.6,7.5,9.7
3 serves,Males,2017,10.1,8.9,11.3
3 serves,Males,2016,10.8,9.5,12.1
3 serves,Males,2015,11.7,10,13.5
3 serves,Males,2014,13.2,11.7,14.6
3 serves,Males,2013,11.8,10.6,13.1
3 serves,Males,2012,11.5,10.1,12.9
3 serves,Males,2011,11,9.6,12.3
3 serves,Males,2010,12.9,11.3,14.5
3 serves,Males,2009,13.5,12.1,14.9
3 serves,Males,2008,13.7,12.2,15.2
3 serves,Males,2007,13.2,11.6,14.8
3 serves,Males,2006,12.2,10.7,13.7
3 serves,Males,2005,12.1,10.9,13.3
3 serves,Males,2004,10.3,8.9,11.6
3 serves,Males,2003,9.4,8.4,10.4
3 serves,Males,2002,11.2,10,12.3
3 serves,Females,2023,9.9,8.8,11
3 serves,Females,2022,9.1,8,10.2
3 serves,Females,2021,11.2,9.6,12.9
3 serves,Females,2020,9.6,8.2,10.9
3 serves,Females,2019,10.8,9.5,12.2
3 serves,Females,2018,10.3,9.2,11.4
3 serves,Females,2017,12.1,10.8,13.3
3 serves,Females,2016,12.6,11.4,13.8
3 serves,Females,2015,13.7,11.9,15.6
3 serves,Females,2014,15.7,14.4,17
3 serves,Females,2013,14.5,13.4,15.6
3 serves,Females,2012,13.5,11.2,15.7
3 serves,Females,2011,14.6,13.4,15.8
3 serves,Females,2010,15.2,14.1,16.4
3 serves,Females,2009,18.1,16.9,19.3
3 serves,Females,2008,17.6,16.2,18.9
3 serves,Females,2007,17.1,15.7,18.4
3 serves,Females,2006,17.5,16.2,18.9
3 serves,Females,2005,17.6,16.5,18.7
3 serves,Females,2004,15.4,14.2,16.6
3 serves,Females,2003,16.2,15.2,17.3
3 serves,Females,2002,16.2,15.1,17.3
3 serves,Persons,2023,8.8,8,9.6
3 serves,Persons,2022,8.5,7.7,9.2
3 serves,Persons,2021,10,9,11
3 serves,Persons,2020,9.2,8.2,10.2
3 serves,Persons,2019,9.7,8.8,10.7
3 serves,Persons,2018,9.5,8.7,10.2
3 serves,Persons,2017,11.1,10.2,12
3 serves,Persons,2016,11.7,10.9,12.6
3 serves,Persons,2015,12.8,11.5,14
3 serves,Persons,2014,14.5,13.5,15.4
3 serves,Persons,2013,13.2,12.4,14.1
3 serves,Persons,2012,12.5,11.2,13.8
3 serves,Persons,2011,12.8,11.9,13.7
3 serves,Persons,2010,14.1,13.1,15.1
3 serves,Persons,2009,15.8,14.9,16.7
3 serves,Persons,2008,15.7,14.7,16.7
3 serves,Persons,2007,15.2,14.2,16.2
3 serves,Persons,2006,14.9,13.9,15.9
3 serves,Persons,2005,14.9,14.1,15.7
3 serves,Persons,2004,12.9,11.9,13.8
3 serves,Persons,2003,12.9,12.1,13.6
3 serves,Persons,2002,13.7,12.9,14.5
More than 3 serves,Males,2023,5.2,4.3,6.2
More than 3 serves,Males,2022,3.7,3,4.4
More than 3 serves,Males,2021,4.1,3.4,4.9
More than 3 serves,Males,2020,4.6,3.5,5.7
More than 3 serves,Males,2019,4.6,3.7,5.6
More than 3 serves,Males,2018,5.1,4.2,5.9
More than 3 serves,Males,2017,5.9,5,6.9
More than 3 serves,Males,2016,5.6,4.7,6.5
More than 3 serves,Males,2015,6,4.9,7.1
More than 3 serves,Males,2014,8.1,7,9.2
More than 3 serves,Males,2013,6.7,5.7,7.7
More than 3 serves,Males,2012,8.9,6.6,11.2
More than 3 serves,Males,2011,5,4,5.9
More than 3 serves,Males,2010,8.9,7.6,10.2
More than 3 serves,Males,2009,8.9,7.7,10.1
More than 3 serves,Males,2008,7.5,6.4,8.6
More than 3 serves,Males,2007,8.7,7.1,10.4
More than 3 serves,Males,2006,8.2,6.9,9.4
More than 3 serves,Males,2005,6.9,5.9,7.8
More than 3 serves,Males,2004,7.7,6.4,9
More than 3 serves,Males,2003,7,6.1,7.9
More than 3 serves,Males,2002,7.1,6.2,8
More than 3 serves,Females,2023,3.4,2.7,4.1
More than 3 serves,Females,2022,3.8,3,4.6
More than 3 serves,Females,2021,4,3.3,4.8
More than 3 serves,Females,2020,4.4,3.4,5.5
More than 3 serves,Females,2019,3.3,2.7,4
More than 3 serves,Females,2018,4.4,3.6,5.3
More than 3 serves,Females,2017,4.4,3.6,5.1
More than 3 serves,Females,2016,4.9,4.2,5.7
More than 3 serves,Females,2015,6.4,5.3,7.6
More than 3 serves,Females,2014,7.4,6.4,8.4
More than 3 serves,Females,2013,6.3,5.5,7.1
More than 3 serves,Females,2012,6,5.1,7
More than 3 serves,Females,2011,5.7,4.9,6.5
More than 3 serves,Females,2010,7.1,6.1,8
More than 3 serves,Females,2009,9.8,8.8,10.7
More than 3 serves,Females,2008,8,7,8.9
More than 3 serves,Females,2007,10.1,9,11.2
More than 3 serves,Females,2006,7.6,6.7,8.5
More than 3 serves,Females,2005,8.4,7.6,9.2
More than 3 serves,Females,2004,7.2,6.3,8.1
More than 3 serves,Females,2003,7.7,6.9,8.4
More than 3 serves,Females,2002,6.8,6,7.5
More than 3 serves,Persons,2023,4.3,3.7,4.9
More than 3 serves,Persons,2022,3.8,3.3,4.3
More than 3 serves,Persons,2021,4.1,3.5,4.6
More than 3 serves,Persons,2020,4.5,3.7,5.3
More than 3 serves,Persons,2019,4,3.4,4.5
More than 3 serves,Persons,2018,4.7,4.2,5.3
More than 3 serves,Persons,2017,5.1,4.5,5.8
More than 3 serves,Persons,2016,5.2,4.6,5.8
More than 3 serves,Persons,2015,6.2,5.4,7
More than 3 serves,Persons,2014,7.7,7,8.5
More than 3 serves,Persons,2013,6.5,5.9,7.2
More than 3 serves,Persons,2012,7.4,6.2,8.7
More than 3 serves,Persons,2011,5.3,4.7,6
More than 3 serves,Persons,2010,8,7.2,8.8
More than 3 serves,Persons,2009,9.3,8.6,10.1
More than 3 serves,Persons,2008,7.7,7,8.4
More than 3 serves,Persons,2007,9.4,8.5,10.4
More than 3 serves,Persons,2006,7.9,7.1,8.7
More than 3 serves,Persons,2005,7.6,7,8.3
More than 3 serves,Persons,2004,7.4,6.7,8.2
More than 3 serves,Persons,2003,7.3,6.7,7.9
More than 3 serves,Persons,2002,6.9,6.4,7.5
